case_id	case_cookie	packet_sha256	operation	current_parser_state	current_parser_errno	packet_hex
frame.pv0.mgmt.00.association_request.minimal	c5da56f4fb5ea0ab	14eee3c8977498fa7e0c8827e713ea41b6685d2f1de429e559c072ba2329e7d6	send_after_continuity_fix	accepted	0	00000c00048000000c000000000045230211223344550266778899aa02a1a2a3a4a5400631040a00
frame.pv0.mgmt.00.association_request.minimum_minus_one	3e16313b3d7aa552	d252f15b512ebd9839485ac0e95ae6ba5793f1c83c507aabf2db913ca539332c	parse_only	rejected	-22	00000c00048000000c000000000045230211223344550266778899aa02a1a2a3a4a5500631040a
frame.pv0.mgmt.01.association_response.minimal	1ed84f9c879fb5a7	3d090f8a39a77d8519735fad75181a72fc51753c0d59610806bc2fbe41d4cf94	send_after_continuity_fix	accepted	0	00000c00048000000c000000100045230211223344550266778899aa02a1a2a3a4a550063104000001c0
frame.pv0.mgmt.01.association_response.minimum_minus_one	0a85f5c401524bb7	8bb95ed4d9bdfe36d44f3d39898ace948acae884cfcb07c6ef725216bc1cd423	parse_only	rejected	-22	00000c00048000000c000000100045230211223344550266778899aa02a1a2a3a4a560063104000001
frame.pv0.mgmt.02.reassociation_request.minimal	abd60285b86249d8	8c4719c690bc7601c6bd3ae6a693cfa1cf6f31fede653c26db0eb764724e80d2	send_after_continuity_fix	accepted	0	00000c00048000000c000000200045230211223344550266778899aa02a1a2a3a4a5600631040a0002a1a2a3a4a5
frame.pv0.mgmt.02.reassociation_request.minimum_minus_one	eac4f2a9a706d443	c124f37518856e50d51524bbc299f15090ffb7f9fc7514f4af93c445f599a51c	parse_only	rejected	-22	00000c00048000000c000000200045230211223344550266778899aa02a1a2a3a4a5700631040a0002a1a2a3a4
frame.pv0.mgmt.03.reassociation_response.minimal	6a066ee4b29146cf	c291cc9efb0d225b6be64e4a3b6bd35a97c12d72a3c958cf8e0a7c9f093332ab	send_after_continuity_fix	accepted	0	00000c00048000000c000000300045230211223344550266778899aa02a1a2a3a4a570063104000001c0
frame.pv0.mgmt.03.reassociation_response.minimum_minus_one	8db914c41127d0cc	b6fa41df7f2bc606f9b26382b610929c9a23ca410c42f9f679bf950ef7ddbc38	parse_only	rejected	-22	00000c00048000000c000000300045230211223344550266778899aa02a1a2a3a4a580063104000001
frame.pv0.mgmt.04.probe_request.minimal	0448cb6fa4588a08	c5f6eb15cd9e6750f718368e213cc8487e6742e96593bed5b3db74b236d1eafe	send_after_continuity_fix	accepted	0	00000c00048000000c000000400045230211223344550266778899aa02a1a2a3a4a58006
frame.pv0.mgmt.04.probe_request.minimum_minus_one	9629af854a3dd168	4ac250538f9d7da68f3d3a0543279dae7fe0842ad6a77b903a835e059f64c7b0	parse_only	rejected	-22	00000c00048000000c000000400045230211223344550266778899aa02a1a2a3a4a590
