case_id	suite	operation	legality	family	current_expectation	current_parser_state	current_parser_errno	stage1_requirement	stage2_requirement	packet_sha256
frame.pv0.mgmt.00.association_request.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	14eee3c8977498fa7e0c8827e713ea41b6685d2f1de429e559c072ba2329e7d6
frame.pv0.mgmt.00.association_request.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	d252f15b512ebd9839485ac0e95ae6ba5793f1c83c507aabf2db913ca539332c
frame.pv0.mgmt.01.association_response.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3d090f8a39a77d8519735fad75181a72fc51753c0d59610806bc2fbe41d4cf94
frame.pv0.mgmt.01.association_response.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	8bb95ed4d9bdfe36d44f3d39898ace948acae884cfcb07c6ef725216bc1cd423
frame.pv0.mgmt.02.reassociation_request.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	8c4719c690bc7601c6bd3ae6a693cfa1cf6f31fede653c26db0eb764724e80d2
frame.pv0.mgmt.02.reassociation_request.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	c124f37518856e50d51524bbc299f15090ffb7f9fc7514f4af93c445f599a51c
frame.pv0.mgmt.03.reassociation_response.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	c291cc9efb0d225b6be64e4a3b6bd35a97c12d72a3c958cf8e0a7c9f093332ab
frame.pv0.mgmt.03.reassociation_response.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	b6fa41df7f2bc606f9b26382b610929c9a23ca410c42f9f679bf950ef7ddbc38
frame.pv0.mgmt.04.probe_request.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	c5f6eb15cd9e6750f718368e213cc8487e6742e96593bed5b3db74b236d1eafe
frame.pv0.mgmt.04.probe_request.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	4ac250538f9d7da68f3d3a0543279dae7fe0842ad6a77b903a835e059f64c7b0
frame.pv0.mgmt.05.probe_response.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	9fb25a14c5a6f459fc763d8b2ab1f4af53e8a09373789062f19649faa3cee99f
frame.pv0.mgmt.05.probe_response.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	c30a1852c8b2b774eb64c8c583eb65363eb9e35ed078a16dce5a8ab79fa6ecb8
frame.pv0.mgmt.06.timing_advertisement.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	735ef030a03dfaf030f917f3d49e8fa8cb7b674e040476d9c6ecc73fbb6ac67a
